coID,sales,inventory,cum_inventory,Cum_Stratum,E_Stratum_3,Cum_fy_Stratum
2078,138722.2741,145732.8783,363662352.1,3,4,5
1312,94653.54579,145807.4457,363808159.5,3,4,5
1786,248227.1168,145820.1151,363953979.6,3,4,5
863,173828.901,145833.0818,364099812.7,3,4,5
2776,30852.91222,145850.202,364245662.9,3,4,5
1720,151816.4419,145863.151,364391526.1,3,4,5
4060,129637.5899,145944.2665,364537470.3,3,4,5
2214,7420.722713,145952.3255,364683422.7,3,4,5
2498,106967.5451,145998.6827,364829421.4,3,4,5
1167,147836.3175,146102.0012,364975523.4,3,4,5
1405,164809.5181,146292.2515,365121815.6,3,4,5
1237,158676.9088,146296.8173,365268112.4,3,4,5
2036,346335.0913,146317.1297,365414429.6,3,4,5
2579,83699.6373,146322.6723,365560752.2,3,4,5
2713,105048.2846,146336.6688,365707088.9,3,4,5
2875,89237.51607,146351.2951,365853440.2,3,4,5
2550,62143.63937,146400.7193,365999840.9,3,4,5
1107,178709.0287,146432.9496,366146273.9,3,4,5
2837,98921.51887,146533.2758,366292807.1,3,4,5
2421,66567.00581,146579.724,366439386.9,3,4,5
3132,37625.57145,146732.112,366586119,3,4,5
3354,112281.0588,146861.0826,366732980.1,3,4,5
3092,100109.2772,146902.1728,366879882.2,3,4,5
4147,126459.354,146984.3116,367026866.5,3,4,5
2063,102007.5539,146985.2337,367173851.8,3,4,5
2578,70963.42603,146995.7019,367320847.5,3,4,5
2761,59149.39,147013.353,367467860.8,3,4,5
3297,68619.55182,147241.375,367615102.2,3,4,5
2025,425771.8453,147284.5781,367762386.8,3,4,5
2975,160347.3591,147338.8874,367909725.7,3,4,5
1136,165621.6082,147399.2013,368057124.9,3,4,5
1390,167941.1639,147431.6504,368204556.5,3,4,5
3290,40960.11417,147440.7781,368351997.3,3,4,5
3156,52421.74005,147579.5633,368499576.9,3,4,5
3101,131040.6314,147622.6403,368647199.5,3,4,5
3177,80372.5232,147660.7909,368794860.3,3,4,5
1161,153114.9979,147789.5891,368942649.9,3,4,5
2753,31103.45785,147814.8063,369090464.7,3,4,5
1259,154331.4575,147846.8375,369238311.5,3,4,5
2888,35285.55371,147897.1614,369386208.7,3,4,5
1133,174720.8842,147911.4368,369534120.1,3,4,5
1702,149253.3785,147969.6652,369682089.8,3,4,5
2609,38079.19119,148011.4248,369830101.2,3,4,5
3137,91214.74924,148096.3002,369978197.5,3,4,5
2760,54566.70236,148198.0089,370126395.5,3,4,5
3380,76432.99612,148312.0629,370274707.6,3,4,5
2144,55958.01043,148433.0311,370423140.6,3,4,5
2880,59979.72785,148455.9109,370571596.5,3,4,5
1428,147040.8813,148640.6231,370720237.2,3,4,5
1434,175806.1888,148652.2351,370868889.4,3,4,5
4092,138132.5423,148696.7093,371017586.1,3,4,5
1118,148361.9683,148722.1367,371166308.2,3,4,5
2743,84583.71351,148804.9608,371315113.2,3,4,5
3118,66790.05829,148882.9982,371463996.2,3,4,5
3341,90015.91835,149048.768,371613045,3,4,5
2391,108796.0242,149117.2819,371762162.2,3,4,5
2180,48181.53626,149157.4483,371911319.7,3,4,5
3283,71079.37689,149171.9144,372060491.6,3,4,5
3360,71792.76087,149241.7987,372209733.4,3,4,5
1132,157958.3534,149362.1863,372359095.6,3,4,5
1355,114714.6546,149392.127,372508487.7,3,4,5
2407,80142.87638,149392.4063,372657880.1,3,4,5
3081,78248.40567,149441.1831,372807321.3,3,4,5
3160,153483.951,149446.3079,372956767.6,3,4,5
2394,41960.93149,149463.4163,373106231,3,4,5
1086,153894.7379,149472.0549,373255703.1,3,4,5
1160,148974.5231,149623.3803,373405326.5,3,4,5
2437,53361.09156,149690.0987,373555016.6,3,4,5
3992,137034.6723,150037.1812,373705053.7,3,4,5
2524,27151.51675,150080.0429,373855133.8,3,4,5
4077,134029.1265,150142.9809,374005276.8,3,4,5
3334,43112.84914,150176.4201,374155453.2,3,4,5
2008,203203.8634,150211.6644,374305664.9,3,4,5
3291,70893.21204,150216.1412,374455881,3,4,5
1371,167279.2806,150406.7251,374606287.7,3,4,5
1310,103797.6861,150423.5165,374756711.2,3,4,5
822,135557.6413,150489.0161,374907200.3,3,4,5
2970,151424.1287,150516.5537,375057716.8,3,4,5
2900,43339.84952,150530.5746,375208247.4,3,4,5
2846,52725.01079,150555.5365,375358802.9,3,4,5
1577,158302.1252,150624.8393,375509427.8,3,4,5
1582,161660.7532,150672.043,375660099.8,3,4,5
2457,142032.4786,150695.9133,375810795.7,3,4,5
3151,80147.93347,150697.5692,375961493.3,3,4,5
931,244654.4972,150770.6833,376112264,3,4,5
4467,105514.7221,150967.6163,376263231.6,3,4,5
1367,84576.33279,151023.8029,376414255.4,3,4,5
2831,56869.27056,151069.5491,376565324.9,3,4,5
3304,54510.44432,151093.2456,376716418.2,3,4,5
2413,14445.28566,151116.353,376867534.5,3,4,5
1370,145557.9632,151287.1987,377018821.7,3,4,5
2959,58230.04963,151328.3985,377170150.1,3,4,5
2783,65363.50993,151515.0229,377321665.2,3,4,5
3374,30084.892,151527.9313,377473193.1,3,4,5
1356,136345.5201,151529.8192,377624722.9,3,4,5
3107,99230.7495,151577.2043,377776300.1,3,4,5
3369,43236.99261,151586.3949,377927886.5,3,4,5
1796,75003.45303,151594.9396,378079481.4,3,4,5
1995,580111.8882,151632.8675,378231114.3,3,4,5
1099,174479.1875,151756.181,378382870.5,3,4,5
2744,63544.38913,151795.1337,378534665.6,3,4,5
4126,132421.6585,151939.0872,378686604.7,3,4,5
3117,52358.86886,152001.102,378838605.8,3,4,5
2790,72952.86032,152016.2602,378990622.1,3,4,5
2812,76178.27928,152049.7878,379142671.9,3,4,5
3174,83372.00415,152114.413,379294786.3,3,4,5
3131,139298.5968,152212.8418,379446999.1,3,4,5
2453,97658.49428,152383.1507,379599382.3,3,4,5
3120,44275.95326,152418.8045,379751801.1,3,4,5
778,255492.3469,152477.7164,379904278.8,3,4,5
1402,171243.9637,152574.6686,380056853.5,3,4,5
2544,57776.23094,152606.1402,380209459.6,3,4,5
3998,143904.9482,152626.0013,380362085.6,3,4,5
4341,100401.5418,152671.8665,380514757.5,3,4,5
2491,52867.52387,152730.9333,380667488.4,3,4,5
1749,179919.0388,152859.5455,380820347.9,3,4,5
1154,172786.2547,152915.4821,380973263.4,3,4,5
2638,83759.90384,152938.2359,381126201.7,3,4,5
2514,47521.55828,152945.8219,381279147.5,3,4,5
1069,172656.9316,152985.6436,381432133.1,3,4,5
1735,170931.9527,153008.8004,381585141.9,3,4,5
3150,88862.94747,153118.4864,381738260.4,3,4,5
1932,274806.3567,153123.6008,381891384,3,4,5
1250,153440.0782,153125.7996,382044509.8,3,4,5
2166,66204.81723,153150.5207,382197660.3,3,4,5
2788,52416.92175,153156.0788,382350816.4,3,4,5
1068,152825.4927,153230.91,382504047.3,3,4,5
1088,182636.656,153274.0866,382657321.4,3,4,5
2870,67876.40586,153294.5748,382810616,3,4,5
1240,162646.5965,153300.0406,382963916,3,4,5
1412,162053.2789,153325.1785,383117241.2,3,4,5
1109,186309.1872,153346.8707,383270588.1,3,4,5
1435,150332.6795,153365.3768,383423953.5,3,4,5
2907,56571.48211,153536.3684,383577489.8,3,4,5
4005,140698.7226,153675.709,383731165.5,3,4,5
2600,27001.97047,153771.1616,383884936.7,3,4,5
1224,195267.1776,153870.505,384038807.2,3,4,5
1389,137868.0085,153870.9613,384192678.2,3,4,5
4023,137622.2771,153871.4893,384346549.6,3,4,5
2809,49944.5511,153873.8745,384500423.5,3,4,5
2511,62844.78274,154064.4211,384654487.9,3,4,5
1587,173620.3981,154094.9987,384808582.9,3,4,5
2859,61159.90757,154210.4649,384962793.4,3,4,5
1538,147352.5334,154270.5069,385117063.9,3,4,5
3119,94042.86657,154273.9887,385271337.9,3,4,5
2441,39787.72912,154327.5436,385425665.4,3,4,5
2509,68203.13375,154475.0093,385580140.5,3,4,5
3148,70305.85367,154550.934,385734691.4,3,4,5
2111,57216.56583,154579.0952,385889270.5,3,4,5
2075,44132.64001,154620.4666,386043890.9,3,4,5
2215,69357.65773,154726.4245,386198617.4,3,4,5
2520,57473.51444,154807.8059,386353425.2,3,4,5
1854,256877.692,154880.9417,386508306.1,3,4,5
2390,66834.75301,155031.0087,386663337.1,3,4,5
1608,154243.3744,155115.6145,386818452.7,3,4,5
2375,83034.09631,155142.2166,386973595,3,4,5
2155,77084.88557,155178.2345,387128773.2,3,4,5
